Kunta;place_fi;wgs;ykj;town_sv;place_sv;town_en;place_en;country_fi;country_sv;country_en;organization;org_abbrev
Imatra;Immalanjärvi, Immalanlietteen uimaranta;61.2218:28.8525;6791751:3599696;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Immalanjärvi Raution uimaranta;61.2355:28.8954;6793344:3601958;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksensuun satama;61.2246:28.7893;6791969:3596291;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, Itä-Siitola;61.1939:28.7852;6788546:3596165;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, kalastuspuisto;61.1878:28.7811;6787851:3595961;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, keskusliikenneasema;61.1949:28.7794;6788641:3595848;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, Kuparin ranta;61.1554:28.7878;6784261:3596421;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, lumenkaatopaikka;61.1842:28.7830;6787452:3596078;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, Mansikkakoski (ent. R-kioskin ranta);61.1982:28.7773;6789006:3595729;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, Mellonlahti;61.1607:28.7697;6784821:3595431;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, Neitsytniemi;61.2088:28.7887;6790206:3596307;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Imatra;Vuoksi, talomuseon ranta;61.2057:28.7812;6789849:3595912;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Askolan altaat (Toikansuolta);61.0261:28.1978;6769128:3564927;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Askolan lintutorni;61.0220:28.2040;6768670:3565268;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Eväksenjärvi;61.0061:28.5692;6767322:3585055;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Haapajärvi, lintutorni;60.9334:28.2788;6758884:3569507;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
